id,poliparty_ego,poliparty_alter1,poliparty_alter2,poliparty_alter3,poliparty_alter4,poliparty_alter5,poliparty_alter6,poliparty_alter7,poliparty_alter8,poliparty_alter9,poliparty_alter10,poliparty_alter11,poliparty_alter12,poliparty_alter13,poliparty_alter14,poliparty_alter15
AYNP68D2ARLFJ,2 - Democratic Party,Yes,Yes,,,,,,Yes,No,,,,,,
A1QX1RYLCFXZJ9,1 - Republican Party,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,No
A2J5N770I859WE,2 - Democratic Party,Yes,Yes,,,,,Yes,,,,,,,,
A1JJYY622DGE5L,2 - Democratic Party,No,Yes,No,Yes,No,,,,,,,,,,
A3JSDZMBS8L87S,2 - Democratic Party,Yes,Yes,,,,,,,,,,,,,
A1PR74OHURJNTO,2 - Democratic Party,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,
A4IH4CO046EV3,2 - Democratic Party,Yes,Yes,Yes,,,,,,,,,,,,
A2IQ0QCTQ3KWLT,1 - Republican Party,Yes,No,Yes,,,,,,,,,Yes,No,,
ARUXG5FD1Q76F,1 - Republican Party,Yes,Yes,Yes,,,,,,,,,,,,
AMELYCC59JKB0,2 - Democratic Party,No,No,Yes,No,No,,,,,,,,,,
A2APPZDU0VS9LN,2 - Democratic Party,,,,,,,,,,,,,,,Yes
A248QG4DPULP46,1 - Republican Party,Yes,Yes,No,Yes,No,,,,,,,,,,
A311A0TCGNTFKK,1 - Republican Party,Yes,No,Yes,Yes,Yes,,,,,,,,,,
A3NBLSA78ZXDNP,1 - Republican Party,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,
AB66CTVQ90RCV,2 - Democratic Party,Yes,Yes,Yes,,,,,,,,,,,,
A1HWB810RJBV2K,2 - Democratic Party,Yes,No,No,No,Yes,,,,,,,,,,
A7ERZELTAMWL5,1 - Republican Party,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
A39C210BKD7YNN,1 - Republican Party,Yes,Yes,,,,Yes,,,,,,,,,
AU0KL60G7FCCK,1 - Republican Party,Yes,Yes,,,,,,,,,,Yes,,,
A342YLIMT6THWO,2 - Democratic Party,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
A1P0XSCJ9XAV74,1 - Republican Party,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,,,
A2APG8MSLJ6G2K,1 - Republican Party,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,
A13FUEPWBCLBUY,1 - Republican Party,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,Yes
A207IHY6GERCFO,1 - Republican Party,Yes,Yes,Yes,,,,,Yes,Yes,,,,,,
A1BNGJBEWJS8WE,1 - Republican Party,Yes,Yes,Yes,Yes,,,,,,,,,,,
A2XQ3CFB5HT2ZQ,2 - Democratic Party,Yes,,,,,,Yes,No,,,,,,,
A1XVEKS9O73ERE,1 - Republican Party,Yes,Yes,,,,Yes,Yes,,,,Yes,Yes,Yes,,
