id,similarity_mean,similarity_weightedSum
AGKCK081EU63R,NA,NA
A36Z98LFRR041Q,Inf,Inf
A2NT3OQZUUZPEO,1,9
A3H2Y9ZTY867J3,1.755952381,4.946428571
A2QFZ2524HID2B,1.206245766,5.991860559
A19ZWBQT8A3LIR,NA,NA
A36CZ0F88ELFWF,NA,NA
A8RDXT4ZILHQT,NA,NA
A3FJCLBK3HF4PD,NA,NA
A2ZZW6KME1FUDU,1.141942662,4.404823394
A150GMV1YQWWB3,NA,NA
A29CNQYJWMJ7G9,NA,NA
A2OXU7SRG0UHM,NA,NA
A29DF24JS60P35,Inf,Inf
AWAW665TQQP2F,Inf,Inf
AIC4VOWTMZODB,NA,NA
A1NANVHGH37SV7,NA,NA
A2V66KLFVJTLKC,NA,NA
A1WPGNK8Y65BV3,NA,NA
A3R97T5D3RR9JX,1.014041279,3.301981352
A26OJD9D9I8VPA,0.975,2.925
A2CEYQH4UDNIEV,NA,NA
A2J1A9GE02VQHR,NA,NA
A24FAL69IKL8RA,NA,NA
A39CG6GXC2ZJXB,NA,NA
A2I37S7GQR6X1H,NA,NA
A3UV55HC87DO9C,1.01748485,8.139878802
A101U3FTZYY87V,0.9,1
A3CQET3D3CGF34,NA,NA
A3BP890CXV4UMN,NA,NA
A2WNW8A4MOR7T7,Inf,NA
A70L26UXLTGLC,1.400641026,3.903846154
A2M8KBU123YOM0,NA,NA
A1UMDHBIFJQTHD,Inf,NA
A3GZ1GJ00K5GVR,NA,NA
A1COPEOCGVLLZ2,NA,NA
A1BZNPQ0H7ZSER,NA,NA
A2U7YH34X0KFXA,NA,NA
A15R4L3EO5EAI9,NA,NA
A3HL2LL0LEPZT8,NA,NA
A17OSPGV41FZ7P,NA,NA
A22012GC5JSH0C,NA,NA
A2TXC8Q2IFGRXH,NA,NA
A2MEK0KK1CTJ7,NA,NA
A13ZMMHQFG93RV,NA,NA
A3BWB2PMOZY5MP,NA,NA
A3F2W4HZRDKNW7,Inf,Inf
A173T1IWICTNER,0.641666667,1.8
A11DJHOJ5CEV4A,NA,NA
A2CCPXIVUG752U,Inf,NA
A118BQHK3S4UDV,NA,NA
AZUM98AQ97HZJ,NA,NA
A2AAY4VT9L71SY,NA,NA
A2DVCDDVI697QR,NA,NA
AA1IM0SAQ3XFM,NA,NA
A20YGFCRNDTD6,NA,NA
A3W1CKM4PBLRC0,NA,NA
A3RWA3Z313T7FF,NA,NA
A38E1DWG5IF0KL,NA,NA
A2DNEPVF6DTLGH,NA,NA
A3GHYD28ZZ3IEN,NA,NA
A2KMJE72HDDVGP,Inf,NA
A3C0E8S182VF8Y,NA,NA
A3SOZYQZWJOOYS,NA,NA
A2EK1HDV4I4GSK,NA,NA
A6KOTWP7N7RLU,NA,NA
A3PLJLUKN3PEA2,NA,NA
A32W24TWSWXW,NA,NA
A1TM0YUPC90UFZ,Inf,NA
A3R55C67WKDZKO,NA,NA
A4CHLWPHZIP7Y,NA,NA
AK1PBMID4RD59,NA,NA
A16LZUEQ6JGHWA,NA,NA
A34YKQXWOMUZRC,0.364403053,1.229411765
A3UC8KZ5O8FVX9,NA,NA
ARR3UJTM2ZGK4,NA,NA
AN45KLUESX3NY,NA,NA
A3O39S9T9LRU52,0.397435897,1.151282051
A39LEVQ5CNSNN4,NA,NA
A37AWU2VH1ZIXX,0,0
A12F9HCQNQ7CSA,0.782160595,7.432706746
A17KN7NAP48L4B,NA,NA
ATQJPX3S1JBVY,1.723450594,4.453150407
A3DQL1IS7JPEL8,1.047757286,4.557377049
A1WZY0K6IE3ASG,1.148148148,6.666666667
A33Z6BHAJUGCHY,NA,NA
A1OJSFSGE31WQG,NA,NA
A2IOWY2QEZPP99,NA,NA
A1L8M9HBRG9N5R,NA,NA
A1CB72B51L7TKE,NA,NA
A1PSHE64ECSZ3B,NA,NA
A2R99C67XALYWC,NA,NA
A3A6IHRYUR9STO,NA,NA
A8VAYDSZ6Z6K4,NA,NA
A2W8TJXW68442D,NA,NA
A1H1TKK54YG94Q,Inf,NA
AP43EYS9D1Z9E,Inf,Inf
AXM7I4TKT8QW7,NA,NA
A263Y9ZPYSSTB9,NA,NA
